months_forward,theoretical_forward,carry_cost_total,carry_per_month,commodity,spot_price
1,613.86,2.86,2.86,wheat,611
2,616.74,5.74,2.87,wheat,611
3,619.63,8.63,2.88,wheat,611
4,622.53,11.53,2.88,wheat,611
5,625.45,14.45,2.89,wheat,611
6,628.37,17.37,2.9,wheat,611
7,631.32,20.32,2.9,wheat,611
8,634.28,23.28,2.91,wheat,611
9,637.25,26.25,2.92,wheat,611
10,640.23,29.23,2.92,wheat,611
11,643.23,32.23,2.93,wheat,611
12,646.24,35.24,2.94,wheat,611
