date,equity
2018-10-16,100000.0
2018-10-17,100000.0
2018-10-18,100000.0
2018-10-19,99859.5
2018-10-22,99859.5
2018-10-23,99859.5
2018-10-24,99859.5
2018-10-25,99859.5
2018-10-26,99859.5
2018-10-29,99859.5
2018-10-30,99859.5
2018-10-31,99859.5
2018-11-01,99859.5
2018-11-02,99859.5
2018-11-05,99859.5
2018-11-06,99859.5
2018-11-07,99859.5
2018-11-08,99859.5
2018-11-09,99859.5
2018-11-12,99859.5
2018-11-13,99859.5
2018-11-14,99619.0
2018-11-15,99619.0
2018-11-16,99619.0
2018-11-19,99619.0
2018-11-20,99619.0
2018-11-21,99619.0
2018-11-23,99619.0
2018-11-26,99619.0
2018-11-27,99619.0
2018-11-28,99619.0
2018-11-29,99619.0
2018-11-30,99619.0
2018-12-03,99619.0
2018-12-04,99619.0
2018-12-06,98880.28571428571
2018-12-07,99589.78571428571
2018-12-10,99589.78571428571
2018-12-11,99589.78571428571
2018-12-12,99589.78571428571
2018-12-13,99589.78571428571
2018-12-14,99589.78571428571
2018-12-17,99589.78571428571
2018-12-18,99589.78571428571
2018-12-19,99589.78571428571
2018-12-20,99589.78571428571
2018-12-21,99589.78571428571
2018-12-24,99589.78571428571
2018-12-26,99589.78571428571
2018-12-27,99374.28571428571
2018-12-28,99374.28571428571
2018-12-31,99374.28571428571
2019-01-02,99133.78571428571
2019-01-03,99133.78571428571
2019-01-04,99133.78571428571
2019-01-07,99133.78571428571
2019-01-08,99180.78571428571
2019-01-09,99180.78571428571
2019-01-10,99180.78571428571
2019-01-11,99152.78571428571
2019-01-14,99152.78571428571
2019-01-15,98987.28571428571
2019-01-16,98987.28571428571
2019-01-17,98987.28571428571
2019-01-18,98987.28571428571
2019-01-22,98987.28571428571
2019-01-23,98987.28571428571
2019-01-24,98987.28571428571
2019-01-25,98987.28571428571
2019-01-28,98987.28571428571
2019-01-29,98987.28571428571
2019-01-30,98746.78571428571
2019-01-31,98746.78571428571
2019-02-01,98746.78571428571
2019-02-04,98746.78571428571
2019-02-05,98746.78571428571
2019-02-06,98746.78571428571
2019-02-07,98746.78571428571
2019-02-08,98781.28571428571
2019-02-11,98781.28571428571
2019-02-12,98781.28571428571
2019-02-13,98781.28571428571
2019-02-14,98094.35714285714
2019-02-15,97953.85714285714
2019-02-19,97953.85714285714
2019-02-20,97953.85714285714
2019-02-21,97953.85714285714
2019-02-22,97953.85714285714
2019-02-25,97953.85714285714
2019-02-26,97953.85714285714
2019-02-27,97953.85714285714
2019-02-28,97953.85714285714
2019-03-01,97953.85714285714
2019-03-04,97953.85714285714
2019-03-05,97953.85714285714
2019-03-06,97953.85714285714
2019-03-07,97953.85714285714
2019-03-08,97953.85714285714
2019-03-11,97953.85714285714
2019-03-12,97953.85714285714
2019-03-13,97953.85714285714
2019-03-14,97953.85714285714
2019-03-15,97953.85714285714
2019-03-18,97953.85714285714
2019-03-19,97953.85714285714
2019-03-20,97953.85714285714
2019-03-21,97953.85714285714
2019-03-22,97953.85714285714
2019-03-25,97953.85714285714
2019-03-26,97953.85714285714
2019-03-27,96488.35714285714
2019-03-28,96488.35714285714
2019-03-29,96488.35714285714
2019-04-01,96488.35714285714
2019-04-02,96488.35714285714
2019-04-03,96488.35714285714
2019-04-04,96488.35714285714
2019-04-05,96488.35714285714
2019-04-08,96488.35714285714
2019-04-09,96488.35714285714
2019-04-10,96488.35714285714
2019-04-11,96488.35714285714
2019-04-12,96488.35714285714
2019-04-15,96488.35714285714
2019-04-16,96488.35714285714
2019-04-17,96488.35714285714
2019-04-18,96488.35714285714
2019-04-22,96488.35714285714
2019-04-23,96488.35714285714
2019-04-24,96488.35714285714
2019-04-25,96488.35714285714
2019-04-26,96488.35714285714
2019-04-29,96488.35714285714
2019-04-30,96488.35714285714
2019-05-01,97485.35714285714
2019-05-02,97485.35714285714
2019-05-03,97485.35714285714
2019-05-06,97485.35714285714
2019-05-07,97485.35714285714
2019-05-08,97485.35714285714
2019-05-09,97485.35714285714
2019-05-10,97485.35714285714
2019-05-13,97485.35714285714
2019-05-14,97485.35714285714
2019-05-15,96580.57142857143
2019-05-16,95665.07142857143
2019-05-17,95665.07142857143
2019-05-20,95665.07142857143
2019-05-21,95665.07142857143
2019-05-22,95665.07142857143
2019-05-23,95665.07142857143
2019-05-24,95665.07142857143
2019-05-28,95665.07142857143
2019-05-29,95665.07142857143
2019-05-30,95665.07142857143
2019-05-31,95665.07142857143
2019-06-03,95665.07142857143
2019-06-04,95665.07142857143
2019-06-05,95665.07142857143
2019-06-06,95665.07142857143
2019-06-07,95665.07142857143
2019-06-10,95665.07142857143
2019-06-11,95665.07142857143
2019-06-12,95665.07142857143
2019-06-13,95665.07142857143
2019-06-14,95665.07142857143
2019-06-17,95665.07142857143
2019-06-18,95665.07142857143
2019-06-19,95665.07142857143
2019-06-20,95665.07142857143
2019-06-21,95665.07142857143
2019-06-24,95665.07142857143
2019-06-25,95665.07142857143
2019-06-26,95665.07142857143
2019-06-27,95665.07142857143
2019-06-28,95665.07142857143
2019-07-01,95665.07142857143
2019-07-02,95665.07142857143
2019-07-03,95665.07142857143
2019-07-05,95665.07142857143
2019-07-08,95665.07142857143
2019-07-09,95665.07142857143
2019-07-10,95665.07142857143
2019-07-11,95665.07142857143
2019-07-12,95665.07142857143
2019-07-15,95665.07142857143
2019-07-16,95649.57142857143
2019-07-17,95649.57142857143
2019-07-18,95649.57142857143
2019-07-19,95649.57142857143
2019-07-22,95649.57142857143
2019-07-23,95649.57142857143
2019-07-24,95649.57142857143
2019-07-25,95649.57142857143
2019-07-26,95649.57142857143
2019-07-29,95649.57142857143
2019-07-30,95649.57142857143
2019-07-31,95649.57142857143
2019-08-01,95649.57142857143
2019-08-02,95649.57142857143
2019-08-05,95649.57142857143
2019-08-06,95649.57142857143
2019-08-07,95649.57142857143
2019-08-08,95649.57142857143
2019-08-09,95649.57142857143
2019-08-12,95649.57142857143
2019-08-13,95649.57142857143
2019-08-14,95649.57142857143
2019-08-15,95649.57142857143
2019-08-16,95649.57142857143
2019-08-19,95649.57142857143
2019-08-20,95649.57142857143
2019-08-21,95649.57142857143
2019-08-22,95649.57142857143
2019-08-23,95649.57142857143
2019-08-26,95649.57142857143
2019-08-27,95649.57142857143
2019-08-28,95649.57142857143
2019-08-29,95649.57142857143
2019-08-30,95649.57142857143
2019-09-03,95649.57142857143
2019-09-04,95649.57142857143
2019-09-05,95649.57142857143
2019-09-06,95649.57142857143
2019-09-09,95649.57142857143
2019-09-10,95649.57142857143
2019-09-11,95649.57142857143
2019-09-12,95234.07142857143
2019-09-13,95234.07142857143
2019-09-16,95234.07142857143
2019-09-17,95234.07142857143
2019-09-18,95234.07142857143
2019-09-19,95234.07142857143
2019-09-20,95234.07142857143
2019-09-23,95234.07142857143
2019-09-24,95234.07142857143
2019-09-25,95234.07142857143
2019-09-26,95234.07142857143
2019-09-27,95234.07142857143
2019-09-30,95234.07142857143
2019-10-01,95234.07142857143
2019-10-02,95234.07142857143
2019-10-03,95234.07142857143
2019-10-04,95234.07142857143
2019-10-07,95234.07142857143
2019-10-08,95234.07142857143
2019-10-09,95234.07142857143
2019-10-10,95234.07142857143
2019-10-11,95234.07142857143
2019-10-14,95234.07142857143
2019-10-15,95234.07142857143
2019-10-16,95234.07142857143
2019-10-17,95234.07142857143
2019-10-18,95234.07142857143
2019-10-21,95234.07142857143
2019-10-22,95234.07142857143
2019-10-23,95234.07142857143
2019-10-24,95234.07142857143
2019-10-25,95234.07142857143
2019-10-28,95234.07142857143
2019-10-29,95234.07142857143
2019-10-30,95234.07142857143
2019-10-31,95234.07142857143
2019-11-01,95234.07142857143
2019-11-04,95234.07142857143
2019-11-05,95234.07142857143
2019-11-06,95234.07142857143
2019-11-07,95234.07142857143
2019-11-08,95234.07142857143
2019-11-11,95234.07142857143
2019-11-12,95193.57142857143
2019-11-13,95193.57142857143
2019-11-14,95193.57142857143
2019-11-15,94878.07142857143
2019-11-18,94878.07142857143
2019-11-19,94878.07142857143
2019-11-20,94878.07142857143
2019-11-21,94878.07142857143
2019-11-22,94878.07142857143
2019-11-25,94878.07142857143
2019-11-26,94878.07142857143
2019-11-27,94878.07142857143
2019-11-29,94878.07142857143
2019-12-02,94878.07142857143
2019-12-03,94878.07142857143
2019-12-04,94878.07142857143
2019-12-05,94878.07142857143
2019-12-06,94878.07142857143
2019-12-09,94878.07142857143
2019-12-10,94878.07142857143
2019-12-11,94878.07142857143
2019-12-12,94878.07142857143
2019-12-13,94878.07142857143
2019-12-16,94878.07142857143
2019-12-17,94878.07142857143
2019-12-18,94878.07142857143
2019-12-19,94878.07142857143
2019-12-20,94878.07142857143
2019-12-23,94878.07142857143
2019-12-24,94878.07142857143
2019-12-26,94878.07142857143
2019-12-27,94878.07142857143
2019-12-30,94878.07142857143
2019-12-31,94878.07142857143
2020-01-02,94878.07142857143
2020-01-03,94878.07142857143
2020-01-06,94878.07142857143
2020-01-07,94878.07142857143
2020-01-08,94878.07142857143
2020-01-09,94878.07142857143
2020-01-10,94878.07142857143
2020-01-13,94878.07142857143
2020-01-14,94878.07142857143
2020-01-15,94878.07142857143
2020-01-16,94878.07142857143
2020-01-17,94878.07142857143
2020-01-21,94878.07142857143
2020-01-22,94878.07142857143
2020-01-23,94878.07142857143
2020-01-24,94878.07142857143
2020-01-27,94878.07142857143
2020-01-28,94878.07142857143
2020-01-29,94878.07142857143
2020-01-30,94878.07142857143
2020-01-31,94878.07142857143
2020-02-03,96137.57142857143
2020-02-04,96137.57142857143
2020-02-05,96137.57142857143
2020-02-06,96137.57142857143
2020-02-07,96137.57142857143
2020-02-10,96137.57142857143
2020-02-11,95134.57142857143
2020-02-12,95134.57142857143
2020-02-13,95134.57142857143
2020-02-14,95134.57142857143
2020-02-18,95134.57142857143
2020-02-19,95134.57142857143
2020-02-20,94869.07142857143
2020-02-21,94869.07142857143
2020-02-24,94869.07142857143
2020-02-25,94869.07142857143
2020-02-26,94869.07142857143
2020-02-27,94869.07142857143
2020-02-28,94869.07142857143
2020-03-02,94869.07142857143
2020-03-03,94869.07142857143
2020-03-04,94869.07142857143
2020-03-05,94869.07142857143
2020-03-06,94869.07142857143
2020-03-09,94869.07142857143
2020-03-10,94869.07142857143
2020-03-11,94869.07142857143
2020-03-12,94869.07142857143
2020-03-13,94869.07142857143
2020-03-16,94869.07142857143
2020-03-17,94869.07142857143
2020-03-18,94869.07142857143
2020-03-19,94869.07142857143
2020-03-20,94869.07142857143
2020-03-23,94869.07142857143
2020-03-24,94869.07142857143
2020-03-25,94869.07142857143
2020-03-26,94869.07142857143
2020-03-27,94869.07142857143
2020-03-30,94869.07142857143
2020-03-31,94869.07142857143
2020-04-01,94869.07142857143
2020-04-02,94869.07142857143
2020-04-03,94253.57142857143
2020-04-06,94253.57142857143
2020-04-07,94253.57142857143
2020-04-08,94253.57142857143
2020-04-09,94253.57142857143
2020-04-13,94253.57142857143
2020-04-14,94253.57142857143
2020-04-15,94253.57142857143
2020-04-16,92950.57142857143
2020-04-17,92950.57142857143
2020-04-20,92950.57142857143
2020-04-21,92950.57142857143
2020-04-22,92950.57142857143
2020-04-23,92960.07142857143
2020-04-24,92960.07142857143
2020-04-27,92960.07142857143
2020-04-28,92960.07142857143
2020-04-29,92960.07142857143
2020-04-30,92960.07142857143
2020-05-01,92960.07142857143
2020-05-04,92960.07142857143
2020-05-05,92960.07142857143
2020-05-06,92960.07142857143
2020-05-07,92960.07142857143
2020-05-08,92960.07142857143
2020-05-11,92960.07142857143
2020-05-12,92960.07142857143
2020-05-13,92960.07142857143
2020-05-14,92960.07142857143
2020-05-15,92960.07142857143
2020-05-18,92960.07142857143
2020-05-19,92960.07142857143
2020-05-20,92960.07142857143
2020-05-21,92960.07142857143
2020-05-22,92960.07142857143
2020-05-26,92960.07142857143
2020-05-27,92960.07142857143
2020-05-28,92960.07142857143
2020-05-29,92960.07142857143
2020-06-01,92960.07142857143
2020-06-02,92960.07142857143
2020-06-03,92960.07142857143
2020-06-04,92960.07142857143
2020-06-05,92960.07142857143
2020-06-08,92960.07142857143
2020-06-09,92960.07142857143
2020-06-10,92960.07142857143
2020-06-11,92960.07142857143
2020-06-12,92960.07142857143
2020-06-15,92960.07142857143
2020-06-16,92960.07142857143
2020-06-17,92960.07142857143
2020-06-18,92960.07142857143
2020-06-19,92960.07142857143
2020-06-22,92960.07142857143
2020-06-23,92960.07142857143
2020-06-24,92960.07142857143
2020-06-25,92960.07142857143
2020-06-26,92960.07142857143
2020-06-29,92960.07142857143
2020-06-30,92960.07142857143
2020-07-01,92960.07142857143
2020-07-02,92960.07142857143
2020-07-06,92960.07142857143
2020-07-07,92960.07142857143
2020-07-08,92401.71428571429
2020-07-09,91961.21428571429
2020-07-10,91961.21428571429
2020-07-13,91961.21428571429
2020-07-14,91961.21428571429
2020-07-15,91961.21428571429
2020-07-16,91961.21428571429
2020-07-17,91961.21428571429
2020-07-20,91961.21428571429
2020-07-21,91961.21428571429
2020-07-22,91961.21428571429
2020-07-23,91961.21428571429
2020-07-24,91961.21428571429
2020-07-27,91961.21428571429
2020-07-28,91961.21428571429
2020-07-29,91961.21428571429
2020-07-30,91961.21428571429
2020-07-31,91961.21428571429
2020-08-03,91961.21428571429
2020-08-04,91961.21428571429
2020-08-05,91961.21428571429
2020-08-06,91961.21428571429
2020-08-07,91961.21428571429
2020-08-10,91961.21428571429
2020-08-11,91961.21428571429
2020-08-12,91961.21428571429
2020-08-13,91961.21428571429
2020-08-14,91961.21428571429
2020-08-17,91961.21428571429
2020-08-18,91358.21428571429
2020-08-19,91358.21428571429
2020-08-20,90980.21428571429
2020-08-21,90980.21428571429
2020-08-24,90980.21428571429
2020-08-25,90980.21428571429
2020-08-26,90980.21428571429
2020-08-27,90980.21428571429
2020-08-28,90980.21428571429
2020-08-31,90980.21428571429
2020-09-01,90980.21428571429
2020-09-02,90980.21428571429
2020-09-03,90980.21428571429
2020-09-04,90980.21428571429
2020-09-08,90980.21428571429
2020-09-09,90980.21428571429
2020-09-10,90980.21428571429
2020-09-11,90980.21428571429
2020-09-14,90980.21428571429
2020-09-15,90980.21428571429
2020-09-16,90980.21428571429
