months_forward,theoretical_forward,carry_cost_total,carry_per_month,commodity,spot_price
1,1190.5,5.5,5.5,soybean,1185
2,1196.03,11.03,5.52,soybean,1185
3,1201.59,16.59,5.53,soybean,1185
4,1207.17,22.17,5.54,soybean,1185
5,1212.78,27.78,5.56,soybean,1185
6,1218.41,33.41,5.57,soybean,1185
7,1224.07,39.07,5.58,soybean,1185
8,1229.75,44.75,5.59,soybean,1185
9,1235.47,50.47,5.61,soybean,1185
10,1241.2,56.2,5.62,soybean,1185
11,1246.97,61.97,5.63,soybean,1185
12,1252.76,67.76,5.65,soybean,1185
