date,equity
2018-10-16,100000.0
2018-10-17,100000.0
2018-10-18,100000.0
2018-10-19,100000.0
2018-10-22,100000.0
2018-10-23,100000.0
2018-10-24,100000.0
2018-10-25,100000.0
2018-10-26,100000.0
2018-10-29,100000.0
2018-10-30,100000.0
2018-10-31,100000.0
2018-11-01,99086.28571428571
2018-11-02,98770.78571428571
2018-11-05,98770.78571428571
2018-11-06,98770.78571428571
2018-11-07,98770.78571428571
2018-11-08,98770.78571428571
2018-11-09,98770.78571428571
2018-11-12,98770.78571428571
2018-11-13,98770.78571428571
2018-11-14,98770.78571428571
2018-11-15,98770.78571428571
2018-11-16,98770.78571428571
2018-11-19,98770.78571428571
2018-11-20,98770.78571428571
2018-11-21,98770.78571428571
2018-11-23,98770.78571428571
2018-11-26,98770.78571428571
2018-11-27,98770.78571428571
2018-11-28,98770.78571428571
2018-11-29,98770.78571428571
2018-11-30,98770.78571428571
2018-12-03,98770.78571428571
2018-12-04,98770.78571428571
2018-12-06,98770.78571428571
2018-12-07,98770.78571428571
2018-12-10,98770.78571428571
2018-12-11,98770.78571428571
2018-12-12,98770.78571428571
2018-12-13,98770.78571428571
2018-12-14,98770.78571428571
2018-12-17,98770.78571428571
2018-12-18,98770.78571428571
2018-12-19,98770.78571428571
2018-12-20,98770.78571428571
2018-12-21,98770.78571428571
2018-12-24,98770.78571428571
2018-12-26,98770.78571428571
2018-12-27,98770.78571428571
2018-12-28,98080.28571428571
2018-12-31,98080.28571428571
2019-01-02,98080.28571428571
2019-01-03,98080.28571428571
2019-01-04,98080.28571428571
2019-01-07,98080.28571428571
2019-01-08,98080.28571428571
2019-01-09,98080.28571428571
2019-01-10,98080.28571428571
2019-01-11,98080.28571428571
2019-01-14,98080.28571428571
2019-01-15,98080.28571428571
2019-01-16,98080.28571428571
2019-01-17,98080.28571428571
2019-01-18,98080.28571428571
2019-01-22,98080.28571428571
2019-01-23,98080.28571428571
2019-01-24,98080.28571428571
2019-01-25,98080.28571428571
2019-01-28,98080.28571428571
2019-01-29,98080.28571428571
2019-01-30,98080.28571428571
2019-01-31,98080.28571428571
2019-02-01,98080.28571428571
2019-02-04,98080.28571428571
2019-02-05,98080.28571428571
2019-02-06,98080.28571428571
2019-02-07,98080.28571428571
2019-02-08,98080.28571428571
2019-02-11,98080.28571428571
2019-02-12,98080.28571428571
2019-02-13,98080.28571428571
2019-02-14,98080.28571428571
2019-02-15,97527.28571428571
2019-02-19,97527.28571428571
2019-02-20,97611.78571428571
2019-02-21,97611.78571428571
2019-02-22,97611.78571428571
2019-02-25,97683.78571428571
2019-02-26,97683.78571428571
2019-02-27,97683.78571428571
2019-02-28,97683.78571428571
2019-03-01,97683.78571428571
2019-03-04,97683.78571428571
2019-03-05,97683.78571428571
2019-03-06,97683.78571428571
2019-03-07,97683.78571428571
2019-03-08,97683.78571428571
2019-03-11,97683.78571428571
2019-03-12,97683.78571428571
2019-03-13,97683.78571428571
2019-03-14,97683.78571428571
2019-03-15,97683.78571428571
2019-03-18,97683.78571428571
2019-03-19,97683.78571428571
2019-03-20,97683.78571428571
2019-03-21,97683.78571428571
2019-03-22,97683.78571428571
2019-03-25,97480.78571428571
2019-03-26,97480.78571428571
2019-03-27,97480.78571428571
2019-03-28,97480.78571428571
2019-03-29,97480.78571428571
2019-04-01,97480.78571428571
2019-04-02,97480.78571428571
2019-04-03,97480.78571428571
2019-04-04,97480.78571428571
2019-04-05,97480.78571428571
2019-04-08,97465.28571428571
2019-04-09,97465.28571428571
2019-04-10,97465.28571428571
2019-04-11,97465.28571428571
2019-04-12,97465.28571428571
2019-04-15,97465.28571428571
2019-04-16,97465.28571428571
2019-04-17,97465.28571428571
2019-04-18,97465.28571428571
2019-04-22,97465.28571428571
2019-04-23,97465.28571428571
2019-04-24,97465.28571428571
2019-04-25,97465.28571428571
2019-04-26,97465.28571428571
2019-04-29,97465.28571428571
2019-04-30,97465.28571428571
2019-05-01,97465.28571428571
2019-05-02,97465.28571428571
2019-05-03,97465.28571428571
2019-05-06,97465.28571428571
2019-05-07,97465.28571428571
2019-05-08,97465.28571428571
2019-05-09,97465.28571428571
2019-05-10,97465.28571428571
2019-05-13,97465.28571428571
2019-05-14,97465.28571428571
2019-05-15,97465.28571428571
2019-05-16,97465.28571428571
2019-05-17,97465.28571428571
2019-05-20,97465.28571428571
2019-05-21,97465.28571428571
2019-05-22,97465.28571428571
2019-05-23,97465.28571428571
2019-05-24,97465.28571428571
2019-05-28,96349.78571428571
2019-05-29,95546.78571428571
2019-05-30,95546.78571428571
2019-05-31,95546.78571428571
2019-06-03,95546.78571428571
2019-06-04,95546.78571428571
2019-06-05,95546.78571428571
2019-06-06,95546.78571428571
2019-06-07,95546.78571428571
2019-06-10,95546.78571428571
2019-06-11,95546.78571428571
2019-06-12,95546.78571428571
2019-06-13,95546.78571428571
2019-06-14,95546.78571428571
2019-06-17,95546.78571428571
2019-06-18,95546.78571428571
2019-06-19,95546.78571428571
2019-06-20,95546.78571428571
2019-06-21,95546.78571428571
2019-06-24,95546.78571428571
2019-06-25,95546.78571428571
2019-06-26,95546.78571428571
2019-06-27,95546.78571428571
2019-06-28,95546.78571428571
2019-07-01,95546.78571428571
2019-07-02,95546.78571428571
2019-07-03,95546.78571428571
2019-07-05,95546.78571428571
2019-07-08,95546.78571428571
2019-07-09,95546.78571428571
2019-07-10,95546.78571428571
2019-07-11,95546.78571428571
2019-07-12,95546.78571428571
2019-07-15,95546.78571428571
2019-07-16,95546.78571428571
2019-07-17,95546.78571428571
2019-07-18,95546.78571428571
2019-07-19,95546.78571428571
2019-07-22,95546.78571428571
2019-07-23,95546.78571428571
2019-07-24,95546.78571428571
2019-07-25,95546.78571428571
2019-07-26,95546.78571428571
2019-07-29,95546.78571428571
2019-07-30,95546.78571428571
2019-07-31,95546.78571428571
2019-08-01,95546.78571428571
2019-08-02,95546.78571428571
2019-08-05,95546.78571428571
2019-08-06,95546.78571428571
2019-08-07,95546.78571428571
2019-08-08,95546.78571428571
2019-08-09,95546.78571428571
2019-08-12,95546.78571428571
2019-08-13,95546.78571428571
2019-08-14,95546.78571428571
2019-08-15,95546.78571428571
2019-08-16,95546.78571428571
2019-08-19,95546.78571428571
2019-08-20,95546.78571428571
2019-08-21,95546.78571428571
2019-08-22,95546.78571428571
2019-08-23,95546.78571428571
2019-08-26,95546.78571428571
2019-08-27,95546.78571428571
2019-08-28,95546.78571428571
2019-08-29,95546.78571428571
2019-08-30,95546.78571428571
2019-09-03,95918.78571428571
2019-09-04,95918.78571428571
2019-09-05,95918.78571428571
2019-09-06,95918.78571428571
2019-09-09,95918.78571428571
2019-09-10,95918.78571428571
2019-09-11,95918.78571428571
2019-09-12,94344.35714285714
2019-09-13,94253.85714285714
2019-09-16,94253.85714285714
2019-09-17,94253.85714285714
2019-09-18,94253.85714285714
2019-09-19,94253.85714285714
2019-09-20,94253.85714285714
2019-09-23,94253.85714285714
2019-09-24,94253.85714285714
2019-09-25,94253.85714285714
2019-09-26,94253.85714285714
2019-09-27,94253.85714285714
2019-09-30,94253.85714285714
2019-10-01,94253.85714285714
2019-10-02,94253.85714285714
2019-10-03,94253.85714285714
2019-10-04,94253.85714285714
2019-10-07,94253.85714285714
2019-10-08,94253.85714285714
2019-10-09,94253.85714285714
2019-10-10,94253.85714285714
2019-10-11,94253.85714285714
2019-10-14,94253.85714285714
2019-10-15,94253.85714285714
2019-10-16,94253.85714285714
2019-10-17,94253.85714285714
2019-10-18,94253.85714285714
2019-10-21,94253.85714285714
2019-10-22,94253.85714285714
2019-10-23,94253.85714285714
2019-10-24,94253.85714285714
2019-10-25,94253.85714285714
2019-10-28,94253.85714285714
2019-10-29,94253.85714285714
2019-10-30,94253.85714285714
2019-10-31,93425.85714285714
2019-11-01,93425.85714285714
2019-11-04,93425.85714285714
2019-11-05,93425.85714285714
2019-11-06,93425.85714285714
2019-11-07,93460.35714285714
2019-11-08,93460.35714285714
2019-11-11,92732.35714285714
2019-11-12,92732.35714285714
2019-11-13,92732.35714285714
2019-11-14,92732.35714285714
2019-11-15,92732.35714285714
2019-11-18,92732.35714285714
2019-11-19,92732.35714285714
2019-11-20,92732.35714285714
2019-11-21,92732.35714285714
2019-11-22,92732.35714285714
2019-11-25,92732.35714285714
2019-11-26,92732.35714285714
2019-11-27,92732.35714285714
2019-11-29,92732.35714285714
2019-12-02,92732.35714285714
2019-12-03,92732.35714285714
2019-12-04,92732.35714285714
2019-12-05,92732.35714285714
2019-12-06,92732.35714285714
2019-12-09,92732.35714285714
2019-12-10,92732.35714285714
2019-12-11,92732.35714285714
2019-12-12,92732.35714285714
2019-12-13,92732.35714285714
2019-12-16,92732.35714285714
2019-12-17,92732.35714285714
2019-12-18,92732.35714285714
2019-12-19,92732.35714285714
2019-12-20,92732.35714285714
2019-12-23,92732.35714285714
2019-12-24,92732.35714285714
2019-12-26,92732.35714285714
2019-12-27,92732.35714285714
2019-12-30,92732.35714285714
2019-12-31,92732.35714285714
2020-01-02,92732.35714285714
2020-01-03,92732.35714285714
2020-01-06,92732.35714285714
2020-01-07,92732.35714285714
2020-01-08,92732.35714285714
2020-01-09,92732.35714285714
2020-01-10,92732.35714285714
2020-01-13,92732.35714285714
2020-01-14,92732.35714285714
2020-01-15,92732.35714285714
2020-01-16,92732.35714285714
2020-01-17,92732.35714285714
2020-01-21,92732.35714285714
2020-01-22,91979.35714285714
2020-01-23,91979.35714285714
2020-01-24,91979.35714285714
2020-01-27,91979.35714285714
2020-01-28,91979.35714285714
2020-01-29,91979.35714285714
2020-01-30,91979.35714285714
2020-01-31,91979.35714285714
2020-02-03,91979.35714285714
2020-02-04,91979.35714285714
2020-02-05,91979.35714285714
2020-02-06,91979.35714285714
2020-02-07,91979.35714285714
2020-02-10,91979.35714285714
2020-02-11,91979.35714285714
2020-02-12,91979.35714285714
2020-02-13,91979.35714285714
2020-02-14,91979.35714285714
2020-02-18,91979.35714285714
2020-02-19,91979.35714285714
2020-02-20,91979.35714285714
2020-02-21,91979.35714285714
2020-02-24,91979.35714285714
2020-02-25,91979.35714285714
2020-02-26,91979.35714285714
2020-02-27,91979.35714285714
2020-02-28,91979.35714285714
2020-03-02,91979.35714285714
2020-03-03,91979.35714285714
2020-03-04,91979.35714285714
2020-03-05,91979.35714285714
2020-03-06,91979.35714285714
2020-03-09,91979.35714285714
2020-03-10,91979.35714285714
2020-03-11,91979.35714285714
2020-03-12,91979.35714285714
2020-03-13,91979.35714285714
2020-03-16,91979.35714285714
2020-03-17,91979.35714285714
2020-03-18,91979.35714285714
2020-03-19,91979.35714285714
2020-03-20,91979.35714285714
2020-03-23,91979.35714285714
2020-03-24,91979.35714285714
2020-03-25,91026.35714285714
2020-03-26,91026.35714285714
2020-03-27,91026.35714285714
2020-03-30,91026.35714285714
2020-03-31,90798.35714285714
2020-04-01,90798.35714285714
2020-04-02,90798.35714285714
2020-04-03,90798.35714285714
2020-04-06,90798.35714285714
2020-04-07,90798.35714285714
2020-04-08,90798.35714285714
2020-04-09,90798.35714285714
2020-04-13,90798.35714285714
2020-04-14,90798.35714285714
2020-04-15,91632.85714285714
2020-04-16,91632.85714285714
2020-04-17,91632.85714285714
2020-04-20,91632.85714285714
2020-04-21,91632.85714285714
2020-04-22,91632.85714285714
2020-04-23,91632.85714285714
2020-04-24,91632.85714285714
2020-04-27,91632.85714285714
2020-04-28,91632.85714285714
2020-04-29,91632.85714285714
2020-04-30,91632.85714285714
2020-05-01,91632.85714285714
2020-05-04,91632.85714285714
2020-05-05,91632.85714285714
2020-05-06,91632.85714285714
2020-05-07,91632.85714285714
2020-05-08,91632.85714285714
2020-05-11,91632.85714285714
2020-05-12,91632.85714285714
2020-05-13,91632.85714285714
2020-05-14,91632.85714285714
2020-05-15,91632.85714285714
2020-05-18,90917.35714285714
2020-05-19,90917.35714285714
2020-05-20,90917.35714285714
2020-05-21,90917.35714285714
2020-05-22,90917.35714285714
2020-05-26,90917.35714285714
2020-05-27,90839.35714285714
2020-05-28,90839.35714285714
2020-05-29,90839.35714285714
2020-06-01,90839.35714285714
2020-06-02,90839.35714285714
2020-06-03,90486.35714285714
2020-06-04,90486.35714285714
2020-06-05,90486.35714285714
2020-06-08,90486.35714285714
2020-06-09,90486.35714285714
2020-06-10,90486.35714285714
2020-06-11,90486.35714285714
2020-06-12,90486.35714285714
2020-06-15,90486.35714285714
2020-06-16,90486.35714285714
2020-06-17,90486.35714285714
2020-06-18,90486.35714285714
2020-06-19,90486.35714285714
2020-06-22,90486.35714285714
2020-06-23,90486.35714285714
2020-06-24,90486.35714285714
2020-06-25,90486.35714285714
2020-06-26,90486.35714285714
2020-06-29,90486.35714285714
2020-06-30,90486.35714285714
2020-07-01,90486.35714285714
2020-07-02,90486.35714285714
2020-07-06,90486.35714285714
2020-07-07,90486.35714285714
2020-07-08,90486.35714285714
2020-07-09,90486.35714285714
2020-07-10,90486.35714285714
2020-07-13,90486.35714285714
2020-07-14,90486.35714285714
2020-07-15,90486.35714285714
2020-07-16,90486.35714285714
2020-07-17,90486.35714285714
2020-07-20,90486.35714285714
2020-07-21,90486.35714285714
2020-07-22,90486.35714285714
2020-07-23,90486.35714285714
2020-07-24,90486.35714285714
2020-07-27,90486.35714285714
2020-07-28,90486.35714285714
2020-07-29,90486.35714285714
2020-07-30,90486.35714285714
2020-07-31,90486.35714285714
2020-08-03,90486.35714285714
2020-08-04,90486.35714285714
2020-08-05,90486.35714285714
2020-08-06,90486.35714285714
2020-08-07,90486.35714285714
2020-08-10,90486.35714285714
2020-08-11,90486.35714285714
2020-08-12,89783.35714285714
2020-08-13,89783.35714285714
2020-08-14,89783.35714285714
2020-08-17,89783.35714285714
2020-08-18,89783.35714285714
2020-08-19,89783.35714285714
2020-08-20,89783.35714285714
2020-08-21,89783.35714285714
2020-08-24,89405.35714285714
2020-08-25,89405.35714285714
2020-08-26,89405.35714285714
2020-08-27,89405.35714285714
2020-08-28,90952.35714285714
2020-08-31,90952.35714285714
2020-09-01,90952.35714285714
2020-09-02,90952.35714285714
2020-09-03,90952.35714285714
2020-09-04,90952.35714285714
2020-09-08,90952.35714285714
2020-09-09,90952.35714285714
2020-09-10,90952.35714285714
